Sep 07 18:04:58.356 DEBG begin change check, db_mod: 0, folder_mod: 1599494585
Sep 07 18:04:58.367 DEBG begin media sync
Sep 07 18:04:58.608 DEBG server usn was 766
Sep 07 18:04:58.608 DEBG differs from local usn 0, fetching changes
Sep 07 18:04:58.608 DEBG fetching record batch, start_usn: 0
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 9de0409c, lsha: , fname: paste-309950609883830.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 3941a5a2, lsha: , fname: paste-300664890589878.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 8f16a792, lsha: , fname: paste-309705796747958.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 1e6bfaa8, lsha: , fname: paste-309984969622198.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 7f43f3e2, lsha: , fname: paste-306561880687286.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 5a454662, lsha: , fname: paste-306471686374070.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 00c78576, lsha: , fname: paste-310204012954294.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: eba3fe6c, lsha: , fname: paste-306604830360246.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 914db039, lsha: , fname: paste-302808079270582.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 28d63caa, lsha: , fname: paste-307072981795510.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: e26d7f35, lsha: , fname: paste-306995672384182.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 9aa71bfc, lsha: , fname: paste-310539020403382.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 82e2f0e0, lsha: , fname: paste-310805308375734.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 61a3d742, lsha: , fname: paste-310882617787062.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 6b7a64da, lsha: , fname: paste-310599149945526.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 1ba89167, lsha: , fname: paste-310470300926646.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 2fd66175, lsha: , fname: paste-309830350799542.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: d7d07589, lsha: , fname: paste-306952722711222.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 69104ec9, lsha: , fname: paste-311157495694006.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: f2e42f88, lsha: , fname: paste-306690729706166.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 5e2ea681, lsha: , fname: paste-308339997147830.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: d55569b3, lsha: , fname: paste-310070868968118.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 44c9e5ae, lsha: , fname: paste-305651347620534.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 00c78576, lsha: , fname: paste-310208307921590.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 8a70f352, lsha: , fname: paste-310139588444854.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: f2d33741, lsha: , fname: paste-305548268405430.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 9a2e1f9d, lsha: , fname: paste-308254097801910.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 79d85ff9, lsha: , fname: paste-310483185828534.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 83eb0e9e, lsha: , fname: paste-308374356886198.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: e8cc0ed2, lsha: , fname: paste-308490321003190.jpg
